Job Title,Job Salary,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role,min_salary,max_salary,avg_salary,min_experience,max_experience
 Document Specialist,"1,00,000-1,25,000pa.",0 - 1 yrs, Word Excel Powerpoint MS Office Suite Fresher,Other,Chennai,ITES ,BPO,Fresher,10.0,12.5,11,0,1
 Data Entry Operator - Belapur (female),"1,00,000-1,25,000pa.",0 - 1 yrs, MS Office Package Internet Surfing Data Entry Operation,nan,Navi Mumbai,Executive Assistant ,Shipping,Stenographer/Data Entry Operator,10.0,12.5,11,0,1
 Walk-in Interviews | Game Testing - Freshers,"1,00,000-1,25,000pa.",0 - 1 yrs, gaming Game Testing game tester video games,Programming & Design,Pune,IT Software ,IT,Testing Engineer,10.0,12.5,11,0,1
 Web Designer,"1,00,000-1,25,000pa.",1 - 2 yrs, CSS Web Technologies Wordpress MySQL PHP Dreamweaver HTML Photoshop Web Designing Joomla,Creative,Delhi NCR,Design ,Media,Web Designer,10.0,12.5,11,1,2
 Web Designer / UI Designer / Graphic Designer,"1,00,000-1,25,000pa.",0 - 1 yrs, CSS Mobile Applications Illustrator Web Technologies Bootstrap User Interface Designing HTML Visual Studio Photoshop Web Designing Graphic Designing,Creative,Bhilai/Bhillai,Design ,IT,Web Designer,10.0,12.5,11,0,1
 Opening For Content Writer at Lower Parel (freshers Can Apply),"1,00,000-1,25,000pa.",0 - 2 yrs, secondary research email process content writing Content Writer Email Writing E - commerce Chat Process,Other,Mumbai,Executive Assistant ,Fresher,Fresher,10.0,12.5,11,0,2
 Fresher,"1,00,000-1,25,000pa.",0 - 1 yrs, Calling voice inbound outbound Tele Caller Calls,Other,Ghaziabad,ITES ,KPO,Fresher,10.0,12.5,11,0,1
 Mother Teacher,"1,00,000-1,25,000pa.",0 - 5 yrs, fluent smart dedicated,Teachers,Greater Noida,Teaching ,Education,Junior/Primary/Assistant Teacher,10.0,12.5,11,0,5
 Project Assistant,"1,00,000-1,25,000pa.",0 - 2 yrs, Data Processing Data Validation Data Management data analysis,nan,Hyderabad ,Other,IT,Other,10.0,12.5,11,0,2
 Urgent Collection Executive,"1,00,000-1,25,000pa.",1 - 4 yrs, Sales FMCG,Retail Sales,Kolkata,Sales ,FMCG,Sales Executive/Officer,10.0,12.5,11,1,4
 REQ For Stock Incharge - Filed JOB- HSC Passed (SAL - 10K To 11K,"1,00,000-1,25,000pa.",0 - 1 yrs, Field Work Field Support Stock Inventory Stock Audit Auditing,Other,Mumbai,Hotels ,Travel ,Fresher,10.0,12.5,11,0,1
 Hiring In Bank Back Office Data Entry,"1,00,000-1,25,000pa.",0 - 1 yrs, data entry operation bpo computer operator back office back office operations office assistant back office executive typing data entry banking,Other,Pune,ITES ,BPO,Fresher,10.0,12.5,11,0,1
 Human Resources Executive (hospitality Experience Only) Takshashila Ho,"1,00,000-1,25,000pa.",1 - 3 yrs, Training Workers Compensation Employee Communication Selection Process Employee Relations HR Performance Management Orientation Employee Development Recruitment,Senior Management,Pune,Hotels ,Travel ,Executive/Master Chef,10.0,12.5,11,1,3
 Hiring for Hindi / Telugu / Malayalam /kannada Voice Support - Chennai,"1,00,000-1,50,000pa.",0 - 4 yrs, Telesales Voice Process,Voice,Chennai,ITES ,BPO,Telecalling/Telemarketing Executive,10.0,15.0,12,0,4
 Retail Store Assistant [woman Only,"1,00,000-1,50,000pa.",2 - 7 yrs, Store Keeping,nan,Delhi NCR,Other,Retail,Other,10.0,15.0,12,2,7
 Dispatch Supervisor,"1,00,000-1,50,000pa.",1 - 2 yrs, dispatch warehouse inventory,nan,Mumbai Suburbs,Other,Other,Other,10.0,15.0,12,1,2
 BPO Customer Care Executive for Inbound Domestic Call Center Ghaziabad,"1,00,000-1,50,000pa.",0 - 0 yrs, inbound process bpo customer care Customer Support Executive Customer Care Executive Call Center Cce CSE Calling Voice Domestic BPO bpo fresher,Voice,Delhi NCR,ITES ,BPO,Associate/Senior Associate -(NonTechnical),10.0,15.0,12,0,0
 Network Engineer,"1,00,000-1,50,000pa.",1 - 3 yrs, Networking LAN WAN DNS Network Engineering Remote Desktop Server OS Windows OS Configuration,Admin,Kolkata,IT Software ,IT,IT/Networking-Manager,10.0,15.0,12,1,3
" Production Chemist, Sikandrabad (u.p)","1,00,000-1,50,000pa.",0 - 1 yrs, production paint chemist,Other,Delhi NCR,Production ,Chemicals,Fresher,10.0,15.0,12,0,1
 Requirement for Account Executive,"1,00,000-1,50,000pa.",1 - 2 yrs, accounts executive accountant,Accounts,Kolkata,Accounts ,Construction,Accounts Executive/Accountant,10.0,15.0,12,1,2
 Mega Openings for Freshers &quot; Non-voice BPO Process&quot; Kukatpally HYD,"1,00,000-1,50,000pa.",0 - 1 yrs, customer service executive customer relation Customer Support cse Non Voice Process customer support executive Semi Voice customer care Night Shift Bpo Non Voice client relation,Other,Hyderabad,ITES ,BPO,Fresher,10.0,15.0,12,0,1
